tf	series	ctl	case	cell-type	pert	species	additional-meta
ZMAT4	GSE79586	GSM2098722|GSM2098723	GSM2098716|GSM2098717	T47D	siRNA	human	
ZNF142	GSE79586	GSM2098754|GSM2098755	GSM2098734|GSM2098735	MCF7	siRNA	human	
ZNF142	GSE79586	GSM2098722|GSM2098723	GSM2098702|GSM2098703	T47D	siRNA	human	
ZNF143	GSE76453	GSM2024867|GSM2024868|GSM2024869	GSM2024870|GSM2024871|GSM2024872	MCF7	siRNA	human	
ZNF180	GSE88357	ENCODE	GSM2343845|GSM2343846	HEPG2	shRNA	hUman	
ZNF217	GSE58326	GSM1406523|GSM1406524|GSM1406525	GSM1406526|GSM1406527|GSM1406528	MCF7	siRNA	human	
ZNF253	GSE79586	GSM2098732|GSM2098733	GSM2098754|GSM2098755	MCF7	siRNA	human	
ZNF253	GSE79586	GSM2098722|GSM2098723	GSM2098700|GSM2098701	T47D	siRNA	human	
ZNF384	GSE88676	ENCODE	GSM2344394|GSM2344395	K562	shRNA	hUman	
ZNF503	GSE69618	GSM1704804|GSM1704805	GSM1704802|GSM1704803	H1	shRNA	human	day6
ZNF503	GSE69618	GSM1704796|GSM1704797	GSM1704794|GSM1704795	H1	shRNA	human	day2
ZNF581	GSE79586	GSM2098658|GSM2098659	GSM2098640|GSM2098641	BT549	siRNA	human	
ZNF589	GSE79586	GSM2098754|GSM2098755	GSM2098738|GSM2098739	MCF7	siRNA	human	
ZNF589	GSE79586	GSM2098722|GSM2098723	GSM2098706|GSM2098707	T47D	siRNA	human	
ZNF589	GSE79586	GSM2098690|GSM2098691	GSM2098666|GSM2098667	MDAMB231	siRNA	human	
ZNF589	GSE79586	GSM2098658|GSM2098659	GSM2098634|GSM2098635	BT549	siRNA	human	
ZNF622	GSE88330	ENCODE	GSM2343798|GSM2343799	HEPG2	shRNA	human	
ZRSR2	GSE63816	GSM1558072|GSM1558075	GSM1558073|GSM1558074|GSM1558076|GSM1558077	TF1	shRNA	Human	
